,id,bestModel,iou
42,648d8d0f9b8421650acbd083,gs://geoengine-dataset-chabud/experiments/cool-vervet-179_648d8d0f9b8421650acbd083/epoch_197.pt,0.635884
43,647e6efa8a165c20d7a77b58,gs://geoengine-dataset-chabud/experiments/honest-hyena-18_647e6efa8a165c20d7a77b58/epoch_142.pt,0.635258
44,64884a048a165c20d7a7fd60,gs://geoengine-dataset-chabud/experiments/expert-troll-70_64884a048a165c20d7a7fd60/epoch_149.pt,0.630533
45,648b4cb69b8421650acb996d,gs://geoengine-dataset-chabud/experiments/causal-rabbit-152_648b4cb69b8421650acb996d/epoch_79.pt,0.628155
46,6488b8458a165c20d7a80ca1,gs://geoengine-dataset-chabud/experiments/upward-dassie-83_6488b8458a165c20d7a80ca1/epoch_22.pt,0.626159
47,648899d78a165c20d7a8086e,gs://geoengine-dataset-chabud/experiments/wanted-chimp-80_648899d78a165c20d7a8086e/epoch_30.pt,0.621144
48,648dae0e9b8421650acbd42b,gs://geoengine-dataset-chabud/experiments/major-dane-189_648dae0e9b8421650acbd42b/epoch_178.pt,0.614571
49,6488e3718a165c20d7a8126c,gs://geoengine-dataset-chabud/experiments/real-dane-86_6488e3718a165c20d7a8126c/epoch_11.pt,0.607044
50,64884f178a165c20d7a7fdff,gs://geoengine-dataset-chabud/experiments/liked-piglet-76_64884f178a165c20d7a7fdff/epoch_26.pt,0.602817
51,648849918a165c20d7a7fd52,gs://geoengine-dataset-chabud/experiments/smooth-dragon-69_648849918a165c20d7a7fd52/epoch_22.pt,0.600202
52,64884eac8a165c20d7a7fdeb,gs://geoengine-dataset-chabud/experiments/stable-oriole-74_64884eac8a165c20d7a7fdeb/epoch_33.pt,0.595734
53,648dad049b8421650acbd409,gs://geoengine-dataset-chabud/experiments/prime-stork-185_648dad049b8421650acbd409/epoch_107.pt,0.594505
54,648908258a165c20d7a81738,gs://geoengine-dataset-chabud/experiments/warm-dingo-98_648908258a165c20d7a81738/epoch_50.pt,0.594155
55,6488b8808a165c20d7a80caa,gs://geoengine-dataset-chabud/experiments/equal-imp-84_6488b8808a165c20d7a80caa/epoch_34.pt,0.589724
56,64884da98a165c20d7a7fdcb,gs://geoengine-dataset-chabud/experiments/golden-panda-71_64884da98a165c20d7a7fdcb/epoch_40.pt,0.588643
57,648dab329b8421650acbd3df,gs://geoengine-dataset-chabud/experiments/saving-chimp-182_648dab329b8421650acbd3df/epoch_199.pt,0.581288
58,648901b68a165c20d7a8165c,gs://geoengine-dataset-chabud/experiments/saving-pika-89_648901b68a165c20d7a8165c/epoch_3.pt,0.578336
59,64884e438a165c20d7a7fddf,gs://geoengine-dataset-chabud/experiments/ideal-rat-73_64884e438a165c20d7a7fddf/epoch_109.pt,0.575583
60,648b4d099b8421650acb9978,gs://geoengine-dataset-chabud/experiments/wanted-imp-155_648b4d099b8421650acb9978/epoch_88.pt,0.569231
61,648b4cee9b8421650acb9975,gs://geoengine-dataset-chabud/experiments/daring-mole-154_648b4cee9b8421650acb9975/epoch_44.pt,0.564174
62,648b4cd39b8421650acb9973,gs://geoengine-dataset-chabud/experiments/helped-eft-153_648b4cd39b8421650acb9973/epoch_56.pt,0.559114
63,648b4d299b8421650acb997b,gs://geoengine-dataset-chabud/experiments/tops-pika-156_648b4d299b8421650acb997b/epoch_57.pt,0.534165
64,64884e0e8a165c20d7a7fdd8,gs://geoengine-dataset-chabud/experiments/cute-tahr-72_64884e0e8a165c20d7a7fdd8/epoch_27.pt,0.530348
65,648b1df49b8421650acb95be,gs://geoengine-dataset-chabud/experiments/fancy-elk-147_648b1df49b8421650acb95be/epoch_21.pt,0.529905
66,648848e68a165c20d7a7fd40,gs://geoengine-dataset-chabud/experiments/fast-emu-68_648848e68a165c20d7a7fd40/epoch_2.pt,0.521783
67,6488c89e8a165c20d7a80eea,gs://geoengine-dataset-chabud/experiments/immune-cicada-85_6488c89e8a165c20d7a80eea/epoch_26.pt,0.517129
